,Record Date,Exchange Rate,Effective Date,Country,Currency,Country Name,Country Code,GDPGrowth,Year
285,3/31/01,1.083,20010331,Italy,Euro,Italy,380,1.951371556,2001
286,3/31/01,2097.3501,20010331,Italy,Lira,Italy,380,1.951371556,2001
287,6/30/01,1.181,20010630,Italy,Euro,Italy,380,1.951371556,2001
288,6/30/01,2287.3799,20010630,Italy,Lira,Italy,380,1.951371556,2001
289,9/30/01,1.1,20010930,Italy,Euro,Italy,380,1.951371556,2001
290,9/30/01,2130.3401,20010930,Italy,Lira,Italy,380,1.951371556,2001
291,12/31/01,1.122,20011231,Italy,Euro,Italy,380,1.951371556,2001
292,12/31/01,2172.9,20011231,Italy,Lira,Italy,380,1.951371556,2001
293,3/31/01,45.3,20010331,Jamaica,Dollar,Jamaica,388,1.344929564,2001
294,6/30/01,45.5,20010630,Jamaica,Dollar,Jamaica,388,1.344929564,2001
295,9/30/01,45.6,20010930,Jamaica,Dollar,Jamaica,388,1.344929564,2001
296,12/31/01,47.25,20011231,Jamaica,Dollar,Jamaica,388,1.344929564,2001
297,3/31/01,117.32,20010331,Japan,Yen,Japan,392,0.386103426,2001
298,6/30/01,119.01,20010630,Japan,Yen,Japan,392,0.386103426,2001
299,9/30/01,118.82,20010930,Japan,Yen,Japan,392,0.386103426,2001
300,12/31/01,131.31,20011231,Japan,Yen,Japan,392,0.386103426,2001
301,3/31/01,0.708,20010331,Jordan,Dinar,Jordan,400,5.269957575,2001
302,6/30/01,0.708,20010630,Jordan,Dinar,Jordan,400,5.269957575,2001
303,9/30/01,0.705,20010930,Jordan,Dinar,Jordan,400,5.269957575,2001
304,12/31/01,0.708,20011231,Jordan,Dinar,Jordan,400,5.269957575,2001
305,3/31/01,146.7,20010331,Kazakhstan,Tenge,Kazakhstan,398,13.5,2001
306,6/30/01,146.8,20010630,Kazakhstan,Tenge,Kazakhstan,398,13.5,2001
307,9/30/01,147.7,20010930,Kazakhstan,Tenge,Kazakhstan,398,13.5,2001
308,12/31/01,151.6,20011231,Kazakhstan,Tenge,Kazakhstan,398,13.5,2001
309,3/31/01,78.0,20010331,Kenya,Shilling,Kenya,404,3.779906498,2001
310,6/30/01,77.85,20010630,Kenya,Shilling,Kenya,404,3.779906498,2001
311,9/30/01,78.8,20010930,Kenya,Shilling,Kenya,404,3.779906498,2001
312,12/31/01,78.45,20011231,Kenya,Shilling,Kenya,404,3.779906498,2001
313,3/31/01,0.307,20010331,Kuwait,Dinar,Kuwait,414,0.213332576,2001
314,6/30/01,0.308,20010630,Kuwait,Dinar,Kuwait,414,0.213332576,2001
315,9/30/01,0.305,20010930,Kuwait,Dinar,Kuwait,414,0.213332576,2001
316,12/31/01,0.307,20011231,Kuwait,Dinar,Kuwait,414,0.213332576,2001
317,3/31/01,49.3,20010331,Kyrgyzstan,Som,Kyrgyzstan,417,5.321621422,2001
318,6/30/01,49.4,20010630,Kyrgyzstan,Som,Kyrgyzstan,417,5.321621422,2001
319,9/30/01,47.5,20010930,Kyrgyzstan,Som,Kyrgyzstan,417,5.321621422,2001
