Record Date,Exchange Rate,Effective Date,Country,Currency,Country Name,Country Code,GDPGrowth,Year
3/31/01,146.7,20010331,Kazakhstan,Tenge,Kazakhstan,KAZ,13.5,2001
6/30/01,146.8,20010630,Kazakhstan,Tenge,Kazakhstan,KAZ,13.5,2001
9/30/01,147.7,20010930,Kazakhstan,Tenge,Kazakhstan,KAZ,13.5,2001
12/31/01,151.6,20011231,Kazakhstan,Tenge,Kazakhstan,KAZ,13.5,2001
3/31/01,78.0,20010331,Kenya,Shilling,Kenya,KEN,3.779906498,2001
6/30/01,77.85,20010630,Kenya,Shilling,Kenya,KEN,3.779906498,2001
9/30/01,78.8,20010930,Kenya,Shilling,Kenya,KEN,3.779906498,2001
12/31/01,78.45,20011231,Kenya,Shilling,Kenya,KEN,3.779906498,2001
3/31/01,0.307,20010331,Kuwait,Dinar,Kuwait,KWT,0.213332576,2001
6/30/01,0.308,20010630,Kuwait,Dinar,Kuwait,KWT,0.213332576,2001
9/30/01,0.305,20010930,Kuwait,Dinar,Kuwait,KWT,0.213332576,2001
12/31/01,0.307,20011231,Kuwait,Dinar,Kuwait,KWT,0.213332576,2001
3/31/01,49.3,20010331,Kyrgyzstan,Som,Kyrgyzstan,KGZ,5.321621422,2001
6/30/01,49.4,20010630,Kyrgyzstan,Som,Kyrgyzstan,KGZ,5.321621422,2001
9/30/01,47.5,20010930,Kyrgyzstan,Som,Kyrgyzstan,KGZ,5.321621422,2001
12/31/01,48.1,20011231,Kyrgyzstan,Som,Kyrgyzstan,KGZ,5.321621422,2001
